code_length,num_lines,num_function_calls,num_variables,has_strcpy,has_strcat,has_sprintf,has_gets,has_memcpy,has_scanf,num_if,num_for,num_while,num_switch,num_pointers,label,file
2221,146,15,2,0,0,0,0,0,0,4,0,0,1,7,0,train_0
36873,1764,357,34,0,0,0,0,1,1,135,39,1,3,67,0,train_1
545,34,12,1,0,0,0,0,0,0,4,0,0,0,4,0,train_2
853,40,11,1,0,0,0,0,1,0,2,0,0,0,3,0,train_3
981,58,11,2,0,0,0,0,0,0,3,1,0,0,4,1,train_4
5333,282,64,7,0,0,0,0,0,0,13,4,0,0,34,1,train_5
1243,70,19,7,0,0,0,0,0,0,2,1,0,0,5,1,train_6
903,56,14,1,0,0,0,0,0,0,0,0,0,0,7,1,train_7
234,16,5,1,0,0,0,0,0,0,1,0,0,0,2,1,train_8
1851,102,32,1,0,0,0,0,0,0,9,0,0,0,10,1,train_9
349,34,6,1,0,0,0,0,0,0,2,0,0,0,4,1,train_10
11903,888,106,10,0,0,0,0,0,0,58,9,0,2,45,1,train_11
2235,112,24,8,0,0,0,0,0,0,11,2,0,0,8,1,train_12
1186,72,22,2,0,0,0,0,0,0,5,0,0,0,1,1,train_13
288,16,1,1,0,0,0,0,0,0,0,0,0,0,2,0,train_14
3112,186,38,5,0,0,0,0,0,0,10,0,0,0,9,1,train_15
598,34,4,2,0,0,0,0,0,0,0,2,0,0,2,1,train_16
1401,90,17,2,0,0,0,0,0,0,5,0,1,0,3,1,train_17
1041,72,17,1,0,0,0,0,0,0,2,0,0,0,3,1,train_18
2706,168,36,2,0,0,0,0,0,0,6,3,1,0,12,1,train_19
1699,88,6,3,0,0,0,0,0,0,1,2,0,0,7,1,train_20
1087,58,26,2,0,0,0,0,0,0,8,0,0,0,5,0,train_21
523,46,9,2,0,0,0,0,1,0,3,0,0,0,2,0,train_22
450,30,4,2,0,0,0,0,0,0,2,0,0,0,1,0,train_23
3374,172,24,4,0,0,0,0,0,0,5,2,0,2,6,0,train_24
220,22,1,1,0,0,0,0,0,0,0,0,0,0,2,0,train_25
5264,294,62,14,0,0,0,0,0,0,18,2,2,0,15,1,train_26
525,40,8,1,0,0,0,0,0,0,2,0,0,0,6,1,train_27
865,58,10,1,0,0,0,0,0,0,1,0,0,0,8,1,train_28
629,38,11,1,0,0,0,0,0,0,5,0,0,0,2,1,train_29
3440,198,42,5,0,0,0,0,0,0,16,0,0,0,13,1,train_30
1420,84,20,2,0,0,0,0,0,0,1,1,0,0,6,1,train_31
2817,210,27,5,0,0,0,0,0,0,10,3,1,1,28,1,train_32
1837,122,16,3,0,0,0,0,1,0,6,0,0,0,10,0,train_33
203,16,5,1,0,0,0,0,0,0,1,0,0,0,2,1,train_34
477,40,8,3,0,0,0,0,0,0,1,1,0,0,2,1,train_35
382,34,3,1,0,0,0,0,0,0,2,0,0,0,3,0,train_36
220,14,6,1,0,0,0,0,0,0,0,0,0,0,2,0,train_37
2626,148,14,1,0,0,0,0,0,0,5,0,0,0,41,0,train_38
547,28,4,1,0,0,0,0,0,0,0,0,0,0,4,0,train_39
118,10,3,1,0,0,0,0,0,0,0,0,0,0,2,0,train_40
772,52,16,3,0,0,0,0,0,0,3,0,1,0,5,0,train_41
194,14,2,1,0,0,0,0,0,0,0,0,0,0,5,0,train_42
568,44,8,1,0,0,0,0,0,0,3,0,0,0,6,0,train_43
3603,194,29,1,0,0,0,0,0,0,11,0,1,0,6,0,train_44
232,24,5,1,0,0,0,0,0,0,1,0,0,0,2,0,train_45
448,40,3,2,0,0,0,0,0,0,0,0,0,1,1,0,train_46
1710,108,16,2,0,0,0,0,0,0,6,1,0,0,25,0,train_47
46,6,1,1,0,0,0,0,0,0,0,0,0,0,1,0,train_48
586,48,5,1,0,0,0,0,0,0,0,0,0,1,2,0,train_49
260,18,6,1,0,0,0,0,0,0,1,0,0,0,3,0,train_50
1390,100,18,5,0,0,0,0,0,0,2,3,0,0,16,0,train_51
608,36,4,1,0,0,0,0,0,0,1,0,0,0,4,0,train_52
5472,288,55,4,0,0,0,0,0,0,14,0,1,1,11,0,train_53
931,64,9,1,0,0,0,0,0,0,4,0,0,0,4,0,train_54
936,74,15,2,0,0,0,0,0,0,4,1,0,0,4,0,train_55
1293,52,4,3,0,0,0,0,0,0,2,0,0,0,3,0,train_56
348,30,5,1,0,0,0,0,0,0,1,0,0,0,1,0,train_57
1487,98,23,1,0,0,0,0,0,0,6,0,0,1,5,0,train_58
4372,206,21,8,0,0,0,0,0,0,3,11,0,0,35,0,train_59
438,28,6,2,0,0,0,0,0,0,0,0,0,0,1,0,train_60
646,44,8,1,0,0,0,0,0,0,1,0,0,0,3,0,train_61
206,18,2,1,0,0,0,0,0,0,0,0,0,0,1,0,train_62
1013,60,15,3,0,0,0,0,0,0,3,0,0,0,5,1,train_63
182,18,4,0,0,0,0,0,0,0,0,0,0,0,2,1,train_64
922,68,16,1,0,0,0,0,0,0,2,0,0,0,4,1,train_65
353,20,6,3,0,0,0,0,0,0,1,0,0,0,1,1,train_66
681,48,9,3,0,0,0,0,0,0,1,0,0,0,6,1,train_67
945,64,10,6,0,0,0,0,0,0,2,1,0,0,7,1,train_68
595,30,10,1,0,0,0,0,0,0,0,0,0,0,6,1,train_69
533,42,8,2,0,0,0,0,0,0,2,0,1,0,4,1,train_70
531,26,3,6,0,0,0,0,0,0,0,1,0,0,17,1,train_71
3489,224,25,4,0,0,0,0,0,0,9,0,1,0,22,1,train_72
402,20,4,1,0,0,0,0,0,0,1,0,0,0,3,1,train_73
187,20,3,1,0,0,0,0,0,0,1,0,0,0,0,1,train_74
1245,90,11,0,0,0,0,0,0,0,0,0,0,1,2,1,train_75
2899,60,33,3,0,0,0,0,0,0,13,1,0,0,11,1,train_76
1440,102,20,3,0,0,0,0,0,0,1,5,0,1,9,0,train_77
5885,370,46,4,0,0,0,0,1,0,5,7,4,2,46,0,train_78
295,30,6,1,0,0,0,0,0,0,1,0,0,0,3,0,train_79
724,38,9,3,0,0,0,0,0,0,1,0,0,0,6,0,train_80
3884,182,31,10,0,0,0,0,0,0,1,3,0,0,15,0,train_81
781,56,12,2,0,0,0,0,0,0,2,0,0,0,2,0,train_82
780,50,9,4,0,0,0,0,0,0,0,0,0,1,1,0,train_83
449,20,8,2,0,0,0,0,0,0,0,0,0,0,3,0,train_84
1144,58,14,2,0,0,0,0,0,0,2,0,0,0,7,0,train_85
550,26,1,0,0,0,0,0,0,0,0,0,0,0,3,0,train_86
402,32,10,1,0,0,0,0,0,0,1,0,0,0,1,0,train_87
551,30,3,1,0,0,0,0,0,0,0,0,0,0,4,0,train_88
1603,96,20,1,0,0,0,0,0,0,2,1,0,0,9,0,train_89
1151,94,10,2,0,0,0,0,0,0,7,0,0,1,9,0,train_90
1048,40,5,5,0,0,0,0,0,0,0,0,0,0,10,0,train_91
836,46,10,3,0,0,0,0,0,0,3,0,0,0,4,0,train_92
185,10,2,1,0,0,0,0,0,0,0,0,0,0,1,0,train_93
1544,86,12,3,0,0,0,0,0,0,6,1,0,1,2,0,train_94
371,20,5,1,0,0,0,0,0,0,0,0,0,0,4,0,train_95
1267,82,19,2,0,0,0,0,0,0,4,0,0,0,6,0,train_96
1835,114,17,2,0,0,0,0,1,0,4,0,0,1,14,0,train_97
60,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,train_98
2780,128,14,9,0,0,0,0,0,0,3,4,0,0,9,0,train_99
952,50,17,1,0,0,0,0,0,0,5,0,0,0,3,0,train_100
1306,70,10,11,0,0,0,0,0,0,0,2,0,0,33,1,train_101
8366,442,59,5,0,0,0,0,0,0,12,3,1,1,18,1,train_102
4068,228,42,5,0,0,0,0,1,0,18,1,1,0,18,1,train_103
668,50,17,7,0,0,0,0,0,0,0,0,0,0,6,1,train_104
1016,78,13,3,0,0,0,0,0,0,4,0,0,0,6,0,train_105
2704,130,32,8,0,0,0,0,0,0,12,1,0,0,9,0,train_106
12298,472,103,9,0,0,0,0,0,0,36,2,0,0,27,0,train_107
1794,128,27,2,0,0,0,0,0,0,1,3,0,0,1,0,train_108
452,34,8,1,0,0,0,0,0,0,0,0,0,0,6,1,train_109
3968,214,45,3,0,0,0,0,0,0,12,0,0,0,13,1,train_110
503,32,3,1,0,0,0,0,0,0,0,0,0,0,4,1,train_111
5291,412,54,21,0,0,0,0,0,0,8,16,0,1,46,1,train_112
426,42,4,0,0,0,0,0,0,0,2,0,0,0,0,1,train_113
2726,182,38,5,0,0,1,0,1,0,15,5,0,0,14,1,train_114
4124,192,78,4,0,0,0,0,0,0,22,2,0,1,6,1,train_115
662,50,6,9,0,0,0,0,0,0,2,0,1,0,8,1,train_116
195,10,2,1,0,0,0,0,0,0,0,0,0,0,1,1,train_117
542,44,15,2,0,0,0,0,0,0,4,1,0,0,1,1,train_118
1381,86,28,2,0,0,0,0,0,0,4,2,0,0,7,1,train_119
709,56,7,2,0,0,0,0,1,0,3,0,0,0,2,1,train_120
1699,114,23,6,0,0,0,0,0,0,7,0,1,0,5,1,train_121
1265,82,10,1,0,0,0,0,0,0,2,0,0,0,4,1,train_122
522,34,7,0,0,0,0,0,0,0,3,0,0,0,2,1,train_123
1701,108,11,4,0,0,0,0,0,0,3,0,0,0,1,1,train_124
8324,399,62,6,0,0,0,0,0,0,24,4,1,0,45,1,train_125
2866,161,36,12,0,0,0,0,1,0,9,1,0,0,10,1,train_126
274,20,3,2,0,0,0,0,0,0,0,1,0,0,1,1,train_127
473,28,8,1,0,0,0,0,0,0,0,0,0,0,3,1,train_128
4949,282,35,4,0,0,0,0,0,0,18,0,0,5,38,1,train_129
216,12,1,2,0,0,0,0,0,0,0,0,0,0,2,1,train_130
2082,90,32,3,0,0,0,0,0,0,2,0,0,0,15,1,train_131
4655,242,46,7,0,0,0,0,1,0,16,1,2,0,19,1,train_132
230,16,3,2,0,0,0,0,0,0,0,0,0,0,2,1,train_133
625,21,12,2,0,0,0,0,0,0,3,1,0,0,4,1,train_134
253,22,6,1,0,0,0,0,0,0,2,0,0,0,1,0,train_135
712,50,9,0,0,0,0,0,0,0,2,0,0,0,6,0,train_136
655,32,4,1,0,0,0,0,0,0,1,0,0,0,1,0,train_137
203,12,1,2,0,0,0,0,0,0,0,0,0,0,2,0,train_138
138,8,3,2,0,0,0,0,0,0,0,0,0,0,2,0,train_139
665,42,7,1,0,0,0,0,0,0,0,0,0,0,5,0,train_140
4592,210,54,8,0,0,0,0,0,0,14,1,1,0,11,0,train_141
